ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,verify_time_ms,verify_ok,encaps_time_ms,receiver_total_ms,kem_pk_bytes,kem_ct_bytes,mem_recv_rss_kb,cpu_recv_user_ms,cpu_recv_sys_ms
1779643468.4672647,5,ML-KEM-768,ML-DSA-65,8747,1649,0.044008000259054825,1,0.017071000002033543,0.13310700023794197,1184,1088,26368,0.0,0.0
1779643468.4678614,6,ML-KEM-768,ML-DSA-65,8747,1649,0.043187000301259104,1,0.017193000076076714,0.13109300016367342,1184,1088,26368,0.0,0.0
1779643468.4682553,7,ML-KEM-768,ML-DSA-65,8747,1649,0.04129700027988292,1,0.01502800023445161,0.11365899990778416,1184,1088,26368,0.0,0.0
1779643468.4686906,8,ML-KEM-768,ML-DSA-65,8747,1649,0.04162999994150596,1,0.015370999790320639,0.11893800001416821,1184,1088,26368,0.0,0.0
1779643468.469167,9,ML-KEM-768,ML-DSA-65,8747,1649,0.041928999962692615,1,0.01518399994893116,0.11628099991867202,1184,1088,26368,0.0,0.0
1779643468.4695897,10,ML-KEM-768,ML-DSA-65,8748,1650,0.041897999835782684,1,0.01573999998072395,0.125933999697736,1184,1088,26368,0.0,0.0
1779643468.470121,11,ML-KEM-768,ML-DSA-65,8748,1650,0.041895999856933486,1,0.01685600000200793,0.13164200026949402,1184,1088,26368,0.0,0.0
1779643468.470552,12,ML-KEM-768,ML-DSA-65,8748,1650,0.0400149997403787,1,0.014852999811409973,0.11871199967572466,1184,1088,26368,0.0,0.0
1779643468.4710262,13,ML-KEM-768,ML-DSA-65,8748,1650,0.03967499969803612,1,0.014451999959419481,0.11384099980205065,1184,1088,26368,0.0,0.0
1779643468.471658,14,ML-KEM-768,ML-DSA-65,8748,1650,0.05584500013355864,1,0.019103999875369482,0.1513550000709074,1184,1088,26368,0.0,0.0
1779643468.4722621,15,ML-KEM-768,ML-DSA-65,8748,1650,0.0473039999633329,1,0.022894999801792437,0.18329299973629531,1184,1088,26368,0.0,0.0
1779643468.472767,16,ML-KEM-768,ML-DSA-65,8748,1650,0.04154699990976951,1,0.015026000255602412,0.11970900004598661,1184,1088,26368,0.0,0.0
1779643468.4732938,17,ML-KEM-768,ML-DSA-65,8748,1650,0.03914400031135301,1,0.014822000139247393,0.11768400008804747,1184,1088,26368,0.0,0.0
1779643468.4736931,18,ML-KEM-768,ML-DSA-65,8748,1650,0.04011700002592988,1,0.014862999705655966,0.11395199999242323,1184,1088,26368,0.0,0.0
1779643468.474065,19,ML-KEM-768,ML-DSA-65,8748,1650,0.03866399993057712,1,0.013737999779550591,0.10572600012892508,1184,1088,26368,0.0,0.0
1779643468.4744868,20,ML-KEM-768,ML-DSA-65,8748,1650,0.041914000121323625,1,0.016622000202914933,0.1353769998786447,1184,1088,26368,0.0,0.0
1779643468.4752393,1,ML-KEM-768,ML-DSA-87,11359,1649,0.05920900002820417,1,0.016011999832699075,0.14591200033464702,1184,1088,26368,0.0,0.0
1779643468.4757733,2,ML-KEM-768,ML-DSA-87,11359,1649,0.06130800011305837,1,0.015607000023010187,0.13937600033386843,1184,1088,26368,0.0,0.0
1779643468.4762127,3,ML-KEM-768,ML-DSA-87,11359,1649,0.05685699989044224,1,0.013801000022795051,0.12690999983533402,1184,1088,26368,0.0,0.0
1779643468.4767542,4,ML-KEM-768,ML-DSA-87,11359,1649,0.056816999858710915,1,0.014364000435307389,0.13384700014285045,1184,1088,26368,0.0,0.0
