ts_unix,alg_family,alg_name,alg_type,iteration,keygen_time_ms,sign_time_ms,verify_time_ms,sig_bytes,pk_bytes,verify_ok
1779465920.884526,ML-DSA,ML-DSA-44,pqc,31,0.029045000701444224,0.06423600007110508,0.02836400017258711,2420,1312,1
1779465920.8846524,ML-DSA,ML-DSA-44,pqc,32,0.02830199991876725,0.04764499954035273,0.02832100017258199,2420,1312,1
1779465920.8847947,ML-DSA,ML-DSA-44,pqc,33,0.02861400025722105,0.06226799996511545,0.027510000109032262,2420,1312,1
1779465920.8849585,ML-DSA,ML-DSA-44,pqc,34,0.03294600082881516,0.05126799987920094,0.030143999538267963,2420,1312,1
1779465920.8851304,ML-DSA,ML-DSA-44,pqc,35,0.03035500049008988,0.08381499992538011,0.028251999538042583,2420,1312,1
1779465920.885316,ML-DSA,ML-DSA-44,pqc,36,0.02941799994005123,0.10143899999093264,0.027771000532084145,2420,1312,1
1779465920.8854413,ML-DSA,ML-DSA-44,pqc,37,0.02799400044750655,0.046705999920959584,0.028084000405215193,2420,1312,1
1779465920.8857028,ML-DSA,ML-DSA-44,pqc,38,0.028077000024495646,0.17691999983071582,0.02996300008817343,2420,1312,1
1779465920.8858457,ML-DSA,ML-DSA-44,pqc,39,0.03129800006718142,0.05998000051476993,0.026855999749386683,2420,1312,1
1779465920.885958,ML-DSA,ML-DSA-44,pqc,40,0.02715599930525059,0.037167000300541986,0.026742000045487657,2420,1312,1
1779465920.8861399,ML-DSA,ML-DSA-44,pqc,41,0.03261700021539582,0.05260499983705813,0.028006000320601743,2420,1312,1
1779465920.8863544,ML-DSA,ML-DSA-44,pqc,42,0.027964999389951117,0.13250600022729486,0.027010000849259086,2420,1312,1
1779465920.8864799,ML-DSA,ML-DSA-44,pqc,43,0.027598999622568954,0.04768599956150865,0.026929999876301736,2420,1312,1
1779465920.8865898,ML-DSA,ML-DSA-44,pqc,44,0.026957999580190517,0.036527999327518046,0.026560000151221175,2420,1312,1
1779465920.8867393,ML-DSA,ML-DSA-44,pqc,45,0.02712300010898616,0.07386900051642442,0.026742000045487657,2420,1312,1
1779465920.8868506,ML-DSA,ML-DSA-44,pqc,46,0.02670699996087933,0.03762899996218039,0.02664299972821027,2420,1312,1
1779465920.8870933,ML-DSA,ML-DSA-44,pqc,47,0.028205000489833765,0.15288000031432603,0.031211000532493927,2420,1312,1
1779465920.8873014,ML-DSA,ML-DSA-44,pqc,48,0.031090999982552603,0.11400600033084629,0.03053900036320556,2420,1312,1
1779465920.8875673,ML-DSA,ML-DSA-44,pqc,49,0.04274300044926349,0.11821600037364988,0.03179500072292285,2420,1312,1
1779465920.8877227,ML-DSA,ML-DSA-44,pqc,50,0.03181899955961853,0.06527799996547401,0.02780900013021892,2420,1312,1
1779465920.8878713,ML-DSA,ML-DSA-44,pqc,51,0.028299999939918052,0.06931500047357986,0.027979999686067458,2420,1312,1
1779465920.8880188,ML-DSA,ML-DSA-44,pqc,52,0.028206000024511013,0.06966000000829808,0.02780799968604697,2420,1312,1
1779465920.8882022,ML-DSA,ML-DSA-44,pqc,53,0.02871000015147729,0.10415800079499604,0.027179999960935675,2420,1312,1
1779465920.8884468,ML-DSA,ML-DSA-44,pqc,54,0.02760499955911655,0.1662439999563503,0.028065000151400454,2420,1312,1
1779465920.8886092,ML-DSA,ML-DSA-44,pqc,55,0.026687000172387343,0.08711500049685128,0.026918000003206544,2420,1312,1
1779465920.8887594,ML-DSA,ML-DSA-44,pqc,56,0.026623999474395532,0.07244200060085859,0.030466000680462457,2420,1312,1
1779465920.888962,ML-DSA,ML-DSA-44,pqc,57,0.02755699915724108,0.1271579994863714,0.027725000109057873,2420,1312,1
1779465920.8892055,ML-DSA,ML-DSA-44,pqc,58,0.05149299977347255,0.12223900012031663,0.03304700021544704,2420,1312,1
1779465920.8893528,ML-DSA,ML-DSA-44,pqc,59,0.030503000743919984,0.06070600011298666,0.02833599955920363,2420,1312,1
1779465920.889469,ML-DSA,ML-DSA-44,pqc,60,0.027846000193676446,0.03817099968728144,0.0276850005320739,2420,1312,1
1779465920.8897588,ML-DSA,ML-DSA-44,pqc,61,0.03395100065972656,0.1015090001601493,0.03306399958091788,2420,1312,1
1779465920.889908,ML-DSA,ML-DSA-44,pqc,62,0.038467999729618896,0.04228899979352718,0.03096999989793403,2420,1312,1
1779465920.8901975,ML-DSA,ML-DSA-44,pqc,63,0.03669199941214174,0.14628299959440483,0.04136000006838003,2420,1312,1
1779465920.8903704,ML-DSA,ML-DSA-44,pqc,64,0.04753200028062565,0.05191199943510583,0.02771499930531718,2420,1312,1
1779465920.8904955,ML-DSA,ML-DSA-44,pqc,65,0.02763599968602648,0.047356999857584015,0.026820999664778356,2420,1312,1
1779465920.8906527,ML-DSA,ML-DSA-44,pqc,66,0.026703000003180932,0.08307299958687508,0.02638500063767424,2420,1312,1
1779465920.8907847,ML-DSA,ML-DSA-44,pqc,67,0.026577000426186714,0.05786600013379939,0.026321999939682428,2420,1312,1
1779465920.8908932,ML-DSA,ML-DSA-44,pqc,68,0.026757999876281247,0.036328999158286024,0.02641500032041222,2420,1312,1
1779465920.891085,ML-DSA,ML-DSA-44,pqc,69,0.02690800010896055,0.11740899935830384,0.027090000003227033,2420,1312,1
1779465920.8912158,ML-DSA,ML-DSA-44,pqc,70,0.02692700036277529,0.05639000028168084,0.026620999960869085,2420,1312,1
1779465920.8915758,ML-DSA,ML-DSA-44,pqc,71,0.027151000722369645,0.2812960001392639,0.029378999897744507,2420,1312,1
1779465920.8918118,ML-DSA,ML-DSA-44,pqc,72,0.03145300070173107,0.14270700012275483,0.031165000109467655,2420,1312,1
1779465920.8919683,ML-DSA,ML-DSA-44,pqc,73,0.031849000151851214,0.0697129999025492,0.02822900023602415,2420,1312,1
1779465920.8920834,ML-DSA,ML-DSA-44,pqc,74,0.027540000701264944,0.037480000173673034,0.027563000003283378,2420,1312,1
1779465920.8923042,ML-DSA,ML-DSA-44,pqc,75,0.02812100046867272,0.14287500016507693,0.026888000320468564,2420,1312,1
