ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,kem_keygen_ms,sig_keygen_ms,sign_time_ms,decaps_time_ms,sender_total_ms,shared_secret_match,kem_pk_bytes,mem_send_rss_kb,cpu_send_user_ms,cpu_send_sys_ms
1779643468.4661727,3,ML-KEM-768,ML-DSA-65,8747,1649,0.017041000319295563,0.06339999981719302,0.09913200028677238,0.017641000340518076,0.47430799986614147,1,1184,26368,0.0,0.0
1779643468.4667222,4,ML-KEM-768,ML-DSA-65,8747,1649,0.01670399979047943,0.04356499994173646,0.1363110000056622,0.01713899973765365,0.4819030000362545,1,1184,26368,0.0,0.0
1779643468.4672637,5,ML-KEM-768,ML-DSA-65,8747,1649,0.02127600009771413,0.0430420000157028,0.05627200016533607,0.017640999885770725,0.3932859999622451,1,1184,26368,0.0,0.0
1779643468.467861,6,ML-KEM-768,ML-DSA-65,8747,1649,0.018902000192611013,0.04141099998378195,0.2048020000984252,0.015996999991330085,0.5248749998827407,1,1184,26368,0.0,0.0
1779643468.4682548,7,ML-KEM-768,ML-DSA-65,8747,1649,0.014458999885391677,0.039388000004692,0.05209900018599001,0.01572699966345681,0.33060499981729663,1,1184,26368,0.0,0.0
1779643468.4686902,8,ML-KEM-768,ML-DSA-65,8747,1649,0.017641999875195324,0.041137999687634874,0.07957400021041394,0.015920999885565834,0.3775889999815263,1,1184,26368,0.0,0.0
1779643468.4691663,9,ML-KEM-768,ML-DSA-65,8747,1649,0.01845399992816965,0.04003000003649504,0.09384599979966879,0.016154000149981584,0.38749200029997155,1,1184,26368,0.0,0.0
1779643468.469589,10,ML-KEM-768,ML-DSA-65,8748,1650,0.015908000023046043,0.04462200013222173,0.05277599984765402,0.015791999885550467,0.3720549998433853,1,1184,26368,0.0,0.0
1779643468.4701202,11,ML-KEM-768,ML-DSA-65,8748,1650,0.014119000297796447,0.07204100029412075,0.11740200034182635,0.01553999982206733,0.4820670001208782,1,1184,26368,0.0,0.0
1779643468.4705515,12,ML-KEM-768,ML-DSA-65,8748,1650,0.01403499982188805,0.03777599977183854,0.08798699991530157,0.015074000202730531,0.3824200002782163,1,1184,26368,0.0,0.0
1779643468.4710257,13,ML-KEM-768,ML-DSA-65,8748,1650,0.01732300006551668,0.04018800018457114,0.10224400011793477,0.01575499982209294,0.38912799982426804,1,1184,26368,0.0,0.0
1779643468.471657,14,ML-KEM-768,ML-DSA-65,8748,1650,0.015299000097002136,0.040176999846153194,0.12154400019426248,0.061348000144789694,0.5282619999888993,1,1184,26368,10.000000000000231,0.0
1779643468.4722612,15,ML-KEM-768,ML-DSA-65,8748,1650,0.03123599981336156,0.05250999993222649,0.06766099977539852,0.015857999642321374,0.5381390001275577,1,1184,26368,0.0,0.0
1779643468.4727664,16,ML-KEM-768,ML-DSA-65,8748,1650,0.01995899992834893,0.042719999783003004,0.057982000271294964,0.015332000202761265,0.36632799992730725,1,1184,26368,0.0,0.0
1779643468.473293,17,ML-KEM-768,ML-DSA-65,8748,1650,0.019719999727385584,0.03944099989894312,0.11360799999238225,0.014972999906603945,0.41053699987969594,1,1184,26368,0.0,0.0
1779643468.4736927,18,ML-KEM-768,ML-DSA-65,8748,1650,0.01718700013952912,0.03795500015257858,0.062493999848811654,0.014786000065214466,0.3471469999567489,1,1184,26368,0.0,0.0
1779643468.4740644,19,ML-KEM-768,ML-DSA-65,8748,1650,0.013580999620899092,0.03670800015243003,0.06186500013427576,0.014739000107510947,0.32465899994349456,1,1184,26368,0.0,0.0
1779643468.474486,20,ML-KEM-768,ML-DSA-65,8748,1650,0.013570999726653099,0.03765400015254272,0.05943399992247578,0.015145999896049034,0.3755909997380513,1,1184,26368,0.0,0.0
1779643468.4752383,1,ML-KEM-768,ML-DSA-87,11359,1649,0.019141999928251607,0.06537499984915485,0.2372690000811417,0.015124999663385097,0.601564000135113,1,1184,26368,0.0,0.0
1779643468.4757729,2,ML-KEM-768,ML-DSA-87,11359,1649,0.01654900006542448,0.08215499974539853,0.10744299970610882,0.014564999673893908,0.46766900004513445,1,1184,26368,0.0,0.0
1779643468.4762123,3,ML-KEM-768,ML-DSA-87,11359,1649,0.013501000012183795,0.054668999837304,0.08807199992588721,0.014708999970025616,0.39204699987749336,1,1184,26368,0.0,0.0
