ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sig_keygen_time_ms,sign_time_ms,serialize_time_ms,rtt_ms,net_baseline_rtt_ms,receipt_ok,mem_rss_kb,mem_delta_kb,cpu_user_ms,cpu_sys_ms
1779643434.6722584,ML-DSA,ML-DSA-65,74,c43afcb4620b48e7ac5d982f46f48658,34,7368,2604,4412,0.08835700009512948,0.09209800009557512,0.18906400009655044,7.754915999612422,2.311989200006792,1,35872,0,0.0,0.0
1779643434.7314117,ML-DSA,ML-DSA-65,75,6ccb3b205ef34b179ef1e4106795e470,34,7368,2604,4412,0.0864580001689319,0.08819200002108118,0.18830999988495023,8.271099000012327,2.311989200006792,1,35872,0,0.0,0.0
1779643434.790065,ML-DSA,ML-DSA-65,76,fc06d4b3f6ef4415ae6b48a5e339d18d,34,7368,2604,4412,0.09457799978918047,0.07364000020970707,0.21380499993028934,7.72382800005289,2.311989200006792,1,35872,0,0.0,0.0
1779643434.8480585,ML-DSA,ML-DSA-65,77,c8b015b41b844b0eac41292e2dc3dabc,34,7368,2604,4412,0.0925089998418116,0.14588599970011273,0.20107499994992395,6.985585000165884,2.311989200006792,1,35872,0,0.0,0.0
1779643434.906962,ML-DSA,ML-DSA-65,78,036347d183794bcaafb63258b3ad6c91,34,7368,2604,4412,0.10930000007647322,0.10807900025611161,0.3036550001525029,7.769340999857377,2.311989200006792,1,35876,0,0.0,0.0
1779643434.9657185,ML-DSA,ML-DSA-65,79,9b49cba85ca84359add9f6d4d8c92590,34,7368,2604,4412,0.07781599970257957,0.12904499999422114,0.19313399980092072,7.85191200020563,2.311989200006792,1,35876,0,0.0,0.0
1779643435.0238094,ML-DSA,ML-DSA-65,80,3db45782be004097a6791bd9b25af8b0,34,7368,2604,4412,0.07824700014680275,0.1320530000157305,0.18033300011666142,7.245222999699763,2.311989200006792,1,35876,0,0.0,0.0
1779643435.0817094,ML-DSA,ML-DSA-65,81,8960b54f27f449c796f460d60fb3196d,34,7368,2604,4412,0.08182700003089849,0.06884399999762536,0.18232799993711524,7.043166000130441,2.311989200006792,1,35876,0,0.0,0.0
1779643435.1392555,ML-DSA,ML-DSA-65,82,1eb4669bf42242b485b21b54e3f6c074,34,7368,2604,4412,0.08582300006310106,0.2033060000030673,0.18896999972639605,6.604554000205098,2.311989200006792,1,35876,0,0.0,0.0
1779643435.1984413,ML-DSA,ML-DSA-65,83,0685dcfbd3894d56bbe54703f1bfd6b2,34,7368,2604,4412,0.1726759996927285,0.20545300003504963,0.3008900002896553,7.894692999798281,2.311989200006792,1,35876,0,0.0,0.0
1779643435.2565482,ML-DSA,ML-DSA-65,84,4fc6cbc2a6eb4fb685660558f3a82484,34,7368,2604,4412,0.11996200009889435,0.1268659998459043,0.22514900001624483,6.832306999967841,2.311989200006792,1,35876,0,0.0,0.0
1779643435.3161082,ML-DSA,ML-DSA-65,85,0a85e3ca169945f495d1885d109048f8,34,7368,2604,4412,0.09897500012812088,0.18203000036010053,0.21748300014223787,8.457129999897006,2.311989200006792,1,35876,0,0.0,0.0
1779643435.3745897,ML-DSA,ML-DSA-65,86,14770a40f41942a4bc93adb75667f048,34,7368,2604,4412,0.0843739999254467,0.31708400001662085,0.5391310000959493,6.791435000195634,2.311989200006792,1,35876,0,0.0,0.0
