ts_unix,alg_family,alg_name,alg_type,iteration,keygen_time_ms,encaps_time_ms,decaps_time_ms,pk_bytes,ct_bytes,shared_secret_match
1779643523.2251182,ML-KEM,ML-KEM-512,pqc,34,0.007999999979801942,0.008938000064517837,0.009543000032863347,800,768,1
1779643523.2251613,ML-KEM,ML-KEM-512,pqc,35,0.007908000043244101,0.009148000117420452,0.009626000064599793,800,768,1
1779643523.2252047,ML-KEM,ML-KEM-512,pqc,36,0.007945000106701627,0.008906999937607907,0.009557999874232337,800,768,1
1779643523.2252471,ML-KEM,ML-KEM-512,pqc,37,0.007904000085545704,0.00888600015969132,0.009720999969431432,800,768,1
1779643523.225292,ML-KEM,ML-KEM-512,pqc,38,0.008170999990397831,0.009017000138555886,0.00978599973677774,800,768,1
1779643523.2253356,ML-KEM,ML-KEM-512,pqc,39,0.008150999747158494,0.008819000413495814,0.009597999905963661,800,768,1
1779643523.2253788,ML-KEM,ML-KEM-512,pqc,40,0.008201000127883162,0.009051999768416863,0.009617999694455648,800,768,1
1779643523.225459,ML-KEM,ML-KEM-512,pqc,41,0.011888999779330334,0.011044000075344229,0.010588000350253424,800,768,1
1779643523.225507,ML-KEM,ML-KEM-512,pqc,42,0.008641000022180378,0.009424999916518573,0.00964499986366718,800,768,1
1779643523.2255526,ML-KEM,ML-KEM-512,pqc,43,0.00846699958856334,0.009441000202059513,0.00964499986366718,800,768,1
1779643523.2255967,ML-KEM,ML-KEM-512,pqc,44,0.008178999905794626,0.009139000212599058,0.009672000032878714,800,768,1
1779643523.2256405,ML-KEM,ML-KEM-512,pqc,45,0.008054999852902256,0.008924000212573446,0.009665000106906518,800,768,1
1779643523.2257,ML-KEM,ML-KEM-512,pqc,46,0.008166000043274835,0.008969999726105016,0.013089000276522711,800,768,1
1779643523.2257526,ML-KEM,ML-KEM-512,pqc,47,0.009932000011758646,0.009952000254997984,0.009784000212675892,800,768,1
1779643523.2257986,ML-KEM,ML-KEM-512,pqc,48,0.008811000043351669,0.009482000223215437,0.009597000371286413,800,768,1
1779643523.2258682,ML-KEM,ML-KEM-512,pqc,49,0.0081429998317617,0.013601000318885781,0.010379999821452657,800,768,1
1779643523.2259183,ML-KEM,ML-KEM-512,pqc,50,0.009308999779022997,0.009517000307823764,0.009984999906009762,800,768,1
1779643523.226055,ML-KEM,ML-KEM-768,pqc,1,0.04832600006920984,0.023196999791252892,0.015577999874949455,1184,1088,1
1779643523.2261178,ML-KEM,ML-KEM-768,pqc,2,0.012985000012122327,0.013201000001572538,0.014502999874821398,1184,1088,1
1779643523.2261765,ML-KEM,ML-KEM-768,pqc,3,0.012523999885161174,0.013173999832361005,0.014259000181482406,1184,1088,1
1779643523.2262359,ML-KEM,ML-KEM-768,pqc,4,0.013072000001557171,0.013666000086232089,0.014913000086380634,1184,1088,1
1779643523.2263148,ML-KEM,ML-KEM-768,pqc,5,0.012292000064917374,0.018477000139682787,0.015467000139324227,1184,1088,1
1779643523.226379,ML-KEM,ML-KEM-768,pqc,6,0.013291000414028531,0.013596999906440033,0.014274000022851396,1184,1088,1
1779643523.2264378,ML-KEM,ML-KEM-768,pqc,7,0.012489999789977446,0.013132999811205082,0.014271000054577598,1184,1088,1
1779643523.2264981,ML-KEM,ML-KEM-768,pqc,8,0.012976999641978182,0.013716000012209406,0.01456300014979206,1184,1088,1
1779643523.2265553,ML-KEM,ML-KEM-768,pqc,9,0.012802000128431246,0.012970999705430586,0.014417999864235753,1184,1088,1
1779643523.2266111,ML-KEM,ML-KEM-768,pqc,10,0.012042999969708035,0.012807000075554242,0.014213999747880735,1184,1088,1
1779643523.2266982,ML-KEM,ML-KEM-768,pqc,11,0.015532999896095134,0.014041999747860245,0.014729000213264953,1184,1088,1
1779643523.226759,ML-KEM,ML-KEM-768,pqc,12,0.01245300018126727,0.01307499996983097,0.014511000244965544,1184,1088,1
1779643523.2268162,ML-KEM,ML-KEM-768,pqc,13,0.012365999737085076,0.012760000117850723,0.014310000096884323,1184,1088,1
1779643523.2268727,ML-KEM,ML-KEM-768,pqc,14,0.012318999779381556,0.012710000191873405,0.014337999800773105,1184,1088,1
1779643523.2269297,ML-KEM,ML-KEM-768,pqc,15,0.012092999895685352,0.012751999747706577,0.014772000213270076,1184,1088,1
1779643523.226986,ML-KEM,ML-KEM-768,pqc,16,0.01226599988513044,0.012938000054418808,0.014139000086288434,1184,1088,1
1779643523.2270417,ML-KEM,ML-KEM-768,pqc,17,0.011894000181200681,0.012833999790018424,0.014436000128625892,1184,1088,1
1779643523.2270973,ML-KEM,ML-KEM-768,pqc,18,0.012027000138914445,0.012644999969779747,0.014195000403560698,1184,1088,1
1779643523.2271533,ML-KEM,ML-KEM-768,pqc,19,0.011994000033155316,0.012791999779437901,0.0144250002449553,1184,1088,1
1779643523.2272108,ML-KEM,ML-KEM-768,pqc,20,0.011963999895669986,0.013196000054449541,0.014696000107505824,1184,1088,1
1779643523.227299,ML-KEM,ML-KEM-768,pqc,21,0.0163630002134596,0.014405000001715962,0.014752999959455337,1184,1088,1
1779643523.2273593,ML-KEM,ML-KEM-768,pqc,22,0.012379000054352218,0.013175999811210204,0.014639000255556311,1184,1088,1
1779643523.227416,ML-KEM,ML-KEM-768,pqc,23,0.01215900010720361,0.012831000276491977,0.014397000086319167,1184,1088,1
1779643523.2274728,ML-KEM,ML-KEM-768,pqc,24,0.012348999916866887,0.012725000033242395,0.014405000001715962,1184,1088,1
1779643523.2275283,ML-KEM,ML-KEM-768,pqc,25,0.011927999821637059,0.012730999969789991,0.014241000371839618,1184,1088,1
1779643523.2275848,ML-KEM,ML-KEM-768,pqc,26,0.012093000350432703,0.012853000043833163,0.014459999874816276,1184,1088,1
1779643523.2276425,ML-KEM,ML-KEM-768,pqc,27,0.01266999970539473,0.013115000001562294,0.01462599993828917,1184,1088,1
1779643523.2277176,ML-KEM,ML-KEM-768,pqc,28,0.011994000033155316,0.02203700023528654,0.01718300018183072,1184,1088,1
1779643523.227784,ML-KEM,ML-KEM-768,pqc,29,0.014171000202622963,0.01398899985360913,0.014639000255556311,1184,1088,1
1779643523.2278428,ML-KEM,ML-KEM-768,pqc,30,0.012675000107265078,0.01315100007559522,0.014275000012275996,1184,1088,1
1779643523.227933,ML-KEM,ML-KEM-768,pqc,31,0.016696999864507234,0.015378000171040185,0.015497999811486807,1184,1088,1
1779643523.2279963,ML-KEM,ML-KEM-768,pqc,32,0.013148000107321423,0.013688999842997873,0.01466999992771889,1184,1088,1
1779643523.2280586,ML-KEM,ML-KEM-768,pqc,33,0.013933999980508815,0.013102000139042502,0.014690999705635477,1184,1088,1
1779643523.2281158,ML-KEM,ML-KEM-768,pqc,34,0.012340000012045493,0.012984000022697728,0.014587999885407044,1184,1088,1
1779643523.2281723,ML-KEM,ML-KEM-768,pqc,35,0.012131999937992077,0.013047999800619436,0.014350000128615648,1184,1088,1
1779643523.2282295,ML-KEM,ML-KEM-768,pqc,36,0.012171999969723402,0.01287099985347595,0.014456999906542478,1184,1088,1
1779643523.2282863,ML-KEM,ML-KEM-768,pqc,37,0.011965999874519184,0.012884000170743093,0.014418999853660353,1184,1088,1
1779643523.2283425,ML-KEM,ML-KEM-768,pqc,38,0.01200400038214866,0.012757999684254173,0.014196999927662546,1184,1088,1
1779643523.2283983,ML-KEM,ML-KEM-768,pqc,39,0.01198900008603232,0.012776999938068911,0.014045999705558643,1184,1088,1
1779643523.2284546,ML-KEM,ML-KEM-768,pqc,40,0.012098999832232948,0.012692000382230617,0.014280999948823592,1184,1088,1
1779643523.2285593,ML-KEM,ML-KEM-768,pqc,41,0.016402999790443573,0.015209000139293494,0.015207000160444295,1184,1088,1
1779643523.2286205,ML-KEM,ML-KEM-768,pqc,42,0.012645999959204346,0.013288999980431981,0.014429000202653697,1184,1088,1
1779643523.22868,ML-KEM,ML-KEM-768,pqc,43,0.012742000308207935,0.013626000054500764,0.015033000181574607,1184,1088,1
1779643523.2287362,ML-KEM,ML-KEM-768,pqc,44,0.012147999768785667,0.01281100003325264,0.014325000393000664,1184,1088,1
1779643523.2287927,ML-KEM,ML-KEM-768,pqc,45,0.012224000329297269,0.012822999906347832,0.01440899995941436,1184,1088,1
1779643523.228849,ML-KEM,ML-KEM-768,pqc,46,0.012182999853393994,0.012931000128446613,0.014515000202663941,1184,1088,1
1779643523.2289045,ML-KEM,ML-KEM-768,pqc,47,0.011922999874514062,0.012556999990920303,0.01420499984305934,1184,1088,1
1779643523.2289603,ML-KEM,ML-KEM-768,pqc,48,0.01175600027636392,0.012642999990930548,0.014171999737300212,1184,1088,1
1779643523.2290158,ML-KEM,ML-KEM-768,pqc,49,0.012096000318706501,0.012766000054398319,0.014258000192057807,1184,1088,1
