ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sign_time_ms,rtt_ms,receipt_ok
1770222583.2777996,ML-DSA,ML-DSA-65,40,d9441862f7934eb784eb0d425bca7191,34,7368,2604,4412,0.07934399991427199,3.401281999913408,1
1770222583.3307295,ML-DSA,ML-DSA-65,41,0697955fb03a47e1aeaac5c60d282618,34,7368,2604,4412,0.08945199988374952,2.1111450000717014,1
1770222583.3850327,ML-DSA,ML-DSA-65,42,8c25249284b847238413b401d63cd5a8,34,7368,2604,4412,0.5123959999764338,3.13425800004552,1
1770222583.4378142,ML-DSA,ML-DSA-65,43,8c9ecb0d46c148599f801077f75d05ad,34,7368,2604,4412,0.16295199998239696,2.0227219999924273,1
1770222583.4914734,ML-DSA,ML-DSA-65,44,2a63de3eac52411f81f425a37755f4fa,34,7368,2604,4412,0.22027899990462174,2.8304189997925278,1
1770222583.5440025,ML-DSA,ML-DSA-65,45,5d693ec96313423caacf807ecb9457f5,34,7368,2604,4412,0.3008900000622816,1.7800099999476515,1
1770222583.5977018,ML-DSA,ML-DSA-65,46,5608e52522994f9799fef18de1bd7b24,34,7368,2604,4412,0.21390000006249466,2.8916730000219104,1
1770222583.650132,ML-DSA,ML-DSA-65,47,732101db447d4ef1bfcd04b6f42a20e5,34,7368,2604,4412,0.11413100014578959,1.8060910001622688,1
1770222583.7039125,ML-DSA,ML-DSA-65,48,b0f0cdbca9da49da9608e7c83b76d075,34,7368,2604,4412,0.1158920001671504,3.088452000156394,1
1770222583.7567115,ML-DSA,ML-DSA-65,49,a5d5879322c24d37acde0e49b5ff0f83,34,7368,2604,4412,0.4386499999782245,1.8562489999567333,1
1770222583.8103127,ML-DSA,ML-DSA-65,50,02f384c2986d4ee4ae599ddebd3b3aa7,34,7368,2604,4412,0.1351589999103453,2.8437030000532104,1
1770222583.8627691,ML-DSA,ML-DSA-65,51,0d86d747003e4058af6f524b089d6dd5,34,7368,2604,4412,0.17140799991466338,1.8234799999845563,1
1770222583.9164925,ML-DSA,ML-DSA-65,52,c2f39974a80249c18f0cabcad3196415,34,7368,2604,4412,0.08561499998904765,2.967575999946348,1
1770222583.9690638,ML-DSA,ML-DSA-65,53,133727f3aaca45a5ab343f8c785bf232,34,7368,2604,4412,0.08276699986708991,1.8938829998660367,1
1770222584.0227659,ML-DSA,ML-DSA-65,54,2a55cb1098ff46088f3be1b7b47856b9,34,7368,2604,4412,0.13186499995754275,2.9375670001172693,1
1770222584.0751305,ML-DSA,ML-DSA-65,55,0c4f46bcef404a9ab61cf29359e7034a,34,7368,2604,4412,0.17975700006900297,1.697340999953667,1
1770222584.1288123,ML-DSA,ML-DSA-65,56,945ff6df9ac442319818a89236d73d21,34,7368,2604,4412,0.22898400015947118,2.8473830000166345,1
1770222584.181428,ML-DSA,ML-DSA-65,57,fc9e1b14d79a45a698f63358628fb73c,34,7368,2604,4412,0.2170850000311475,1.8594929999835585,1
1770222584.235112,ML-DSA,ML-DSA-65,58,32dbdee37bc54a65929bab46ef5a43d1,34,7368,2604,4412,0.2383399998961977,2.8281239999614627,1
1770222584.2876546,ML-DSA,ML-DSA-65,59,766f3365a94c4df6b1d2b449d3fd7ace,34,7368,2604,4412,0.3632519999428041,1.6997950001496065,1
1770222584.341484,ML-DSA,ML-DSA-65,60,70facbb0b08e498db4b904c6bcb196ca,34,7368,2604,4412,0.13161800006855628,3.0475039998236753,1
1770222584.3941522,ML-DSA,ML-DSA-65,61,f46a3ae4558442589e6e82f9c6f83d59,34,7368,2604,4412,0.10012600000663952,1.9976379999206983,1
1770222584.4479604,ML-DSA,ML-DSA-65,62,f19547f476834e6d80a449cc41772205,34,7368,2604,4412,0.1430610000170418,3.030364000096597,1
1770222584.50089,ML-DSA,ML-DSA-65,63,9fda0a6c78f24d6183ca019f1037015a,34,7368,2604,4412,0.1677390000622836,2.125377999846023,1
1770222584.5544102,ML-DSA,ML-DSA-65,64,477e39d0aacb48a092f5977df847731b,34,7368,2604,4412,0.09520999992673751,2.83362400000442,1
1770222584.6067755,ML-DSA,ML-DSA-65,65,6e6918373c934e54b1372fd2386bf093,34,7368,2604,4412,0.17540400017423963,1.6964120000011462,1
1770222584.660513,ML-DSA,ML-DSA-65,66,fd36bc05741a486e9bcfb62b077391ae,34,7368,2604,4412,0.1490459999331506,2.9344309998577955,1
