ts_unix,from,msg_id,alg,stanza_bytes,body_bytes,pk_b64_bytes,sig_b64_bytes,verify_time_ms,verify_ok
1770222592.3279572,emisor@localhost/f5rfdCvYqZ-d,cc3d2235ab444d9fa2629d49622408e7,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.26901599994744174,1
1770222592.6179993,emisor@localhost/f5rfdCvYqZ-d,c9d46a6e09b44d239019f8854f8a3045,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.3103259998624708,1
1770222592.9079661,emisor@localhost/f5rfdCvYqZ-d,b5c4273f0be142f59101272fec61ce82,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2906060001350852,1
1770222593.2079933,emisor@localhost/f5rfdCvYqZ-d,161723ee7e3a40b6a981d7a189793dff,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2630029998726968,1
1770222593.4979832,emisor@localhost/f5rfdCvYqZ-d,cd939f2763244f9187968a22f29c0b72,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2648519998729171,1
1770222593.788028,emisor@localhost/f5rfdCvYqZ-d,529a8ed195154cadb66d00b7d46669c1,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.27143700003762206,1
1770222594.0778103,emisor@localhost/f5rfdCvYqZ-d,83b87e107a864f718a63b99cf09ab938,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2576849999513797,1
1770222594.367937,emisor@localhost/f5rfdCvYqZ-d,0ae787625f1a4141baebbe84d28d6996,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.301945000046544,1
1770222594.6582289,emisor@localhost/f5rfdCvYqZ-d,ed6b54c7ebcd4a1389be1bf72f08eef3,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.3407290000723151,1
1770222594.9679933,emisor@localhost/f5rfdCvYqZ-d,a079e11bdebb4c609d7956da4ffdc7cf,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2724549999584269,1
1770222595.2779293,emisor@localhost/f5rfdCvYqZ-d,cf164abad2c048a8814b3f6243bd0e84,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2823699999225937,1
1770222595.567862,emisor@localhost/f5rfdCvYqZ-d,51b0aabe57af414094ada6ad8c589ab1,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.29030899986537406,1
1770222595.857915,emisor@localhost/f5rfdCvYqZ-d,d9dc0c90b50942c19fd43b981659af29,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.29535099997701764,1
1770222596.1478376,emisor@localhost/f5rfdCvYqZ-d,20c777bfa54c49fdbc8e3165d4ca70f5,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.29173300004003977,1
1770222596.4378448,emisor@localhost/f5rfdCvYqZ-d,e9df52f34ebf4315bac65af315d6190d,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.27476800005388213,1
1770222596.7278976,emisor@localhost/f5rfdCvYqZ-d,9cd837e7f21f4d5787846f0c513229d7,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2920590000030643,1
1770222597.0178828,emisor@localhost/f5rfdCvYqZ-d,10bd10d887fb4d9e99d6f4a12361a7ec,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2675910000107251,1
1770222597.3079798,emisor@localhost/f5rfdCvYqZ-d,592e99dd3f6549dc9d551ec42ee87b81,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2786229999856005,1
1770222597.5980594,emisor@localhost/f5rfdCvYqZ-d,4facedae11bd4b1b931edfd009c70bcb,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2779019998797594,1
1770222597.8880274,emisor@localhost/f5rfdCvYqZ-d,9a3ed81d05414c9e94b2ac1fa99eb740,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2744420000908576,1
1770222598.17794,emisor@localhost/f5rfdCvYqZ-d,faa48fbd238040adb66945344472d30d,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.26480200017431343,1
1770222598.4679806,emisor@localhost/f5rfdCvYqZ-d,255f20772a4146dd83794471fa34b9a8,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.29396700006145693,1
